year,OdName,CODE,number,AreaName,RegName,DevName
1980,Afghanistan,AFG,10,Asia,Southern Asia,Developing regions
1980,Albania,ALB,0,Europe,Southern Europe,Developed regions
1980,Algeria,DZA,10,Africa,Northern Africa,Developing regions
1980,American Samoa,ASM,0,Oceania,Polynesia,Developing regions
1980,Andorra,AND,0,Europe,Southern Europe,Developed regions
1980,Angola,AGO,0,Africa,Middle Africa,Developing regions
1980,Anguilla,AIA,0,Latin America and the Caribbean,Caribbean,Developing regions
1980,Antigua and Barbuda,ATG,0,Latin America and the Caribbean,Caribbean,Developing regions
1980,Argentina,ARG,570,Latin America and the Caribbean,South America,Developing regions
1980,Armenia,ARM,0,Asia,Western Asia,Developing regions
1980,Aruba,ABW,0,Latin America and the Caribbean,Caribbean,Developing regions
1980,Australia,AUS,280,Oceania,Australia and New Zealand,Developed regions
1980,Austria,AUT,4100,Europe,Western Europe,Developed regions
1980,Azerbaijan,AZE,0,Asia,Western Asia,Developing regions
1980,Bahamas,BHM,10,Latin America and the Caribbean,Caribbean,Developing regions
1980,Bahrain,BHR,70,Asia,Western Asia,Developing regions
1980,Bangladesh,BGD,170,Asia,Southern Asia,Developing regions
1980,Barbados,BRB,0,Latin America and the Caribbean,Caribbean,Developing regions
1980,Belarus,BLR,0,Europe,Eastern Europe,Developed regions
1980,Belgium,BEL,230,Europe,Western Europe,Developed regions
1980,Belize,BLZ,0,Latin America and the Caribbean,Central America,Developing regions
1980,Benin,BEN,0,Africa,Western Africa,Developing regions
1980,Bermuda,BMU,20,Northern America,Northern America,Developed regions
1980,Bhutan,BTN,0,Asia,Southern Asia,Developing regions
1980,Bolivia (Plurinational State of),BOL,20,Latin America and the Caribbean,South America,Developing regions
1980,Bosnia and Herzegovina,BIH,0,Europe,Southern Europe,Developed regions
1980,Botswana,BWA,20,Africa,Southern Africa,Developing regions
1980,Brazil,BRA,270,Latin America and the Caribbean,South America,Developing regions
1980,British Virgin Islands,VGB,0,Latin America and the Caribbean,Caribbean,Developing regions
1980,Brunei Darussalam,BRN,80,Asia,South-Eastern Asia,Developing regions
1980,Bulgaria,BGR,20,Europe,Eastern Europe,Developed regions
1980,Burkina Faso,BFA,0,Africa,Western Africa,Developing regions
1980,Burundi,BDI,0,Africa,Eastern Africa,Developing regions
1980,Cabo Verde,CPV,0,Africa,Western Africa,Developing regions
1980,Cambodia,KHM,0,Asia,South-Eastern Asia,Developing regions
1980,Cameroon,CMR,10,Africa,Middle Africa,Developing regions
1980,Canada,CAN,2920,Northern America,Northern America,Developed regions
1980,Cayman Islands,CYM,0,Latin America and the Caribbean,Caribbean,Developing regions
1980,Central African Republic,CAF,0,Africa,Middle Africa,Developing regions
1980,Chad,TCD,0,Africa,Middle Africa,Developing regions
1980,Chile,CHL,590,Latin America and the Caribbean,South America,Developing regions
1980,China,CHN,860,Asia,Eastern Asia,Developing regions
1980,"China, Hong Kong Special Administrative Region",HKG,4170,Asia,Eastern Asia,Developing regions
1980,"China, Macao Special Administrative Region",MAC,40,Asia,Eastern Asia,Developing regions
1980,"China, Taiwan Province of China",TWN,220,Asia,Eastern Asia,Developing regions
1980,Colombia,COL,90,Latin America and the Caribbean,South America,Developing regions
1980,Comoros,COM,0,Africa,Eastern Africa,Developing regions
1980,Congo,COG,0,Africa,Middle Africa,Developing regions
1980,Cook Islands,COK,40,Oceania,Polynesia,Developing regions
